PDF Field,CRM Field
"SSN",""
"employee name","firstname, lastname"
"Department","federalagency"
"claim number",""
"Basic N",""
"Full",""
"Basic Y",""
"50%",""
"None",""
"75%",""
"Option A N",""
"No Option A",""
"Option A Y",""
"Option B N",""
"No Option B",""
"work address","businessAddress.city, businessAddress.state, businessAddress.postalcode"
"Option B Y",""
"Option C N",""
"Option C Y",""
"No Option C",""
"No reduction multiples",""
"full reduction multiples",""
"Opt C No reduction multiples",""
"Option C full reduction multiples",""
"DOB","birthday"
"signature date",""
"Save",""
"Print",""
"Clear",""
"Print copies",""
