PDF Field,CRM Field
"name","firstname, lastname"
"other names",""
"birthdate","birthday"
"Applicant's Address1","homeAddress.line1"
"Applicant's Address2","homeAddress.city, homeAddress.state, homeAddress.postalcode"
"Last employed agency name","federalagency"
"Applicant's SSN",""
"Last employed agency location","businessAddress.city, businessAddress.state"
"claim number(s)",""
"agency name 1",""
"agency name 1.0",""
"agency name 1.1",""
"agency name 1.2",""
"agency name 1.3",""
"agency name 1.4",""
"agency location 1",""
"agency location 1.0",""
"agency location 1.1",""
"agency location 1.2",""
"agency location 1.3",""
"agency location 1.4",""
"Job position 1",""
"Job position 1.0",""
"Job position 1.1",""
"Job position 1.2",""
"Job position 1.3",""
"Job position 1.4",""
"Period of Service Beginning Date 1",""
"Period of Service Beginning Date 1.0",""
"Period of Service Beginning Date 1.1",""
"Period of Service Beginning Date 1.2",""
"Period of Service Beginning Date 1.3",""
"Period of Service Beginning Date 1.4",""
"Period of Service Ending Date 1",""
"Period of Service Ending Date 1.0",""
"Period of Service Ending Date 1.1",""
"Period of Service Ending Date 1.2",""
"Period of Service Ending Date 1.3",""
"Period of Service Ending Date 1.4",""
"separation date",""
"area code",""
"telephone number","homephone, mobilephone"
"date signed",""
"filed yes",""
"filed no",""
"service",""
"refund",""
"return",""
"retirement",""
"10",""
"10. CS",""
"10. MS",""
"not withheld 1",""
"withheld/refunded 1",""
"withheld not refunded 1",""
"period of service",""
"period of service.0",""
"period of service.1",""
"period of service.2",""
"period of service.3",""
"period of service.4",""
"not withheld 2",""
"withheld/refunded 2",""
"withheld not refunded 2",""
"not withheld 3",""
"withheld/refunded 3",""
"withheld not refunded 3",""
"not withheld 4",""
"withheld/refunded 4",""
"withheld not refunded 4",""
"not withheld 5",""
"withheld/refunded 5",""
"withheld not refunded 5",""
"deductions Y",""
"deductions N",""
"transfer N",""
"transfer Y",""
"Effective Date of Federal Employees Retirement System Election",""
"agency",""
"agency.0",""
"agency.1",""
"agency.2",""
"agency.3",""
"retirement system",""
"retirement system.0",""
"retirement system.1",""
"retirement system.3",""
"retirement system.2",""
"beginning period of service",""
"beginning period of service.0",""
"beginning period of service.1",""
"beginning period of service.2",""
"beginning period of service.3",""
"ending period of service",""
"ending period of service.0",""
"ending period of service.1",""
"ending period of service.2",""
"ending period of service.3",""
"Nature of Action1",""
"Nature of Action1.0",""
"Nature of Action1.1",""
"Nature of Action1.2",""
"Nature of Action1.3",""
"Nature of Action1.4",""
"Nature of Action1.5",""
"Nature of Action1.6",""
"Nature of Action1.7",""
"Nature of Action1.8",""
"Effective Date of Action1",""
"Effective Date of Action1.0",""
"Effective Date of Action1.1",""
"Effective Date of Action1.2",""
"Effective Date of Action1.3",""
"Effective Date of Action1.4",""
"Effective Date of Action1.5",""
"Effective Date of Action1.6",""
"Effective Date of Action1.7",""
"Effective Date of Action1.8",""
"Basic Salary Rate1",""
"Basic Salary Rate1.0",""
"Basic Salary Rate1.1",""
"Basic Salary Rate1.2",""
"Basic Salary Rate1.3",""
"Basic Salary Rate1.4",""
"Basic Salary Rate1.5",""
"Basic Salary Rate1.6",""
"Basic Salary Rate1.7",""
"Basic Salary Rate1.8",""
"Salary Basis1",""
"Salary Basis1.0",""
"Salary Basis1.1",""
"Salary Basis1.2",""
"Salary Basis1.3",""
"Salary Basis1.4",""
"Salary Basis1.5",""
"Salary Basis1.6",""
"Salary Basis1.7",""
"Salary Basis1.8",""
"Leave Without Pay1",""
"Leave Without Pay1.0",""
"Leave Without Pay1.1",""
"Leave Without Pay1.2",""
"Leave Without Pay1.3",""
"Leave Without Pay1.4",""
"Leave Without Pay1.5",""
"Leave Without Pay1.6",""
"Leave Without Pay1.7",""
"Leave Without Pay1.8",""
"BS Beginning1",""
"BS Beginning1.0",""
"BS Beginning1.1",""
"BS Beginning1.2",""
"BS Beginning1.3",""
"BS Beginning1.4",""
"BS Beginning1.5",""
"BS Beginning1.6",""
"BS Beginning1.7",""
"BS Beginning1.8",""
"BS Ending1",""
"BS Ending1.0",""
"BS Ending1.1",""
"BS Ending1.2",""
"BS Ending1.3",""
"BS Ending1.4",""
"BS Ending1.5",""
"BS Ending1.6",""
"BS Ending1.7",""
"BS Ending1.8",""
"Salary Total1",""
"Salary Total1.0",""
"Salary Total1.1",""
"Salary Total1.2",""
"Salary Total1.3",""
"Salary Total1.4",""
"Salary Total1.5",""
"Salary Total1.6",""
"Salary Total1.7",""
"Salary Total1.8",""
"Comments",""
"agency address",""
"Signature Date",""
"Official Title",""
"Agency Area Code",""
"Agency's Telephone Number",""
"Agency FAX Area Code",""
"Agency's FAX Number",""
"name employee's","firstname, lastname"
"birthdate employee's","birthday"
"SSN Employee's",""
"Branch of Military",""
"Branch of Military.0",""
"Branch of Military.0.0","""
"Branch of Military.1",""
"Branch of Military.1.0",""
"Branch of Military.1.0.0",""
"Branch of Military.1.0.1",""
"Branch of Military.1.0.2",""
"Branch of Military.1.0.3",""
"Branch of Military.1.0.3.0",""
"Branch of Military.1.0.3.1",""
"Military service beginning",""
"Military service beginning.0",""
"Military service beginning.0.0",""
"Military service beginning.1",""
"Military service beginning.1.0",""
"Military service beginning.1.0.0",""
"Military service beginning.1.0.1",""
"Military service beginning.1.0.2",""
"Military service beginning.1.0.3",""
"Military service beginning.1.0.3.0",""
"Military service beginning.1.0.3.1",""
"Military service ending",""
"Military service ending.0",""
"Military service ending.0.0",""
"Military service ending.1",""
"Military service ending.1.0",""
"Military service ending.1.0.0",""
"Military service ending.1.0.1",""
"Military service ending.1.0.2",""
"Military service ending.1.0.3",""
"Military service ending.1.0.3.0",""
"Military service ending.1.0.3.1",""
"IAD",""
"IAD.0",""
"IAD.1",""
"IAD.2",""
"IAD.3",""
"IAD.4",""
"IAD.5",""
"military application agency official signature date",""
"employee's Area Code2",""
"Signature Date employee",""
"CSRS",""
"CSRS.0",""
"CSRS.1",""
"CSRS.2",""
"CSRS.3",""
"CSRS.4",""
"CSRS.5",""
"FERS",""
"FERS.0",""
"FERS.1",""
"FERS.2",""
"FERS.3",""
"FERS.4",""
"FERS.5",""
"ADC yes",""
"ADC yes.0",""
"ADC yes.1",""
"ADC yes.2",""
"ADC yes.3",""
"ADC yes.4",""
"ADC yes.5",""
"ADC no",""
"ADC no.0",""
"ADC no.1",""
"ADC no.2",""
"ADC no.3",""
"ADC no.4",""
"ADC no.5",""
"Print Military Application",""
"Save Military Application",""
"Clear Military Application",""
"Print (agency)",""
"Save (agency)",""
"Clear Agency",""
"Applicant's Job position",""
"Email Address",""
"employees Telephone Number2",""
"email address 2",""
"Print",""
"Clear",""
"Save",""
"Agency cert email address",""
